,ISO 3166 ALPHA-3,Country
222,TJK,Tajikistan
223,TZA,Tanzania
224,THA,Thailand
225,TGO,Togo
226,TKL,Tokelau
227,TON,Tonga
228,TTO,Trinidad and Tobago
229,TUN,Tunisia
230,TUR,Turkey
231,TKM,Turkmenistan
232,TCA,Turks and Caicos Islands
233,TUV,Tuvalu
234,VIR,U.S. Virgin Islands
235,UGA,Uganda
236,UKR,Ukraine
237,ARE,United Arab Emirates
238,GBR,United Kingdom
239,USA,United States
240,UMI,United States Minor Outlying Islands
241,URY,Uruguay
242,UZB,Uzbekistan
243,VUT,Vanuatu
244,VAT,Vatican
245,VEN,Venezuela
246,VNM,Vietnam
247,WLF,Wallis and Futuna
248,ESH,Western Sahara
249,YEM,Yemen
250,ZMB,Zambia
251,ZWE,Zimbabwe
